Asset,SKA-B.ST,EKTA-B.ST,GETI-B.ST,ERIC-B.ST,TEL2-B.ST,HM-B.ST,SKA-B.ST,EKTA-B.ST,GETI-B.ST,ERIC-B.ST,TEL2-B.ST,HM-B.ST
Channel,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close
2019-11-13,200.78916931152344,140.53070068359375,167.76174926757812,85.67491149902344,133.81317138671875,188.10000610351562,212.8000030517578,142.89999389648438,170.5500030517578,87.13999938964844,140.64999389648438,188.10000610351562
2019-11-14,201.1665802001953,140.62904357910156,166.0895538330078,84.77037811279297,132.9093475341797,185.0,213.1999969482422,143.0,168.85000610351562,86.22000122070312,139.6999969482422,185.0
2019-11-15,202.864990234375,124.59930419921875,165.74525451660156,86.52045440673828,133.19476318359375,185.0800018310547,215.0,126.69999694824219,168.5,88.0,140.0,185.0800018310547
2019-11-18,202.20449829101562,119.09215545654297,166.48300170898438,86.00920104980469,133.4326171875,185.16000366210938,214.3000030517578,121.0999984741211,169.25,87.4800033569336,140.25,185.16000366210938
2019-11-19,200.60044860839844,118.8462905883789,158.3186798095703,86.5794448852539,133.76560974121094,183.27999877929688,212.60000610351562,120.8499984741211,160.9499969482422,88.05999755859375,140.60000610351562,183.27999877929688
2019-11-20,200.22300720214844,121.35401916503906,163.67959594726562,85.91087341308594,133.76560974121094,179.86000061035156,212.1999969482422,123.4000015258789,166.39999389648438,87.37999725341797,140.60000610351562,179.86000061035156
2019-11-21,200.128662109375,118.79713439941406,161.4663848876953,85.12432861328125,133.19476318359375,181.60000610351562,212.10000610351562,120.80000305175781,164.14999389648438,86.58000183105469,140.0,181.60000610351562
2019-11-22,199.46817016601562,119.8297119140625,162.89266967773438,84.80970764160156,134.33644104003906,182.13999938964844,211.39999389648438,121.8499984741211,165.60000610351562,86.26000213623047,141.1999969482422,182.13999938964844
2019-11-25,202.20449829101562,121.5998764038086,165.8436279296875,86.42213439941406,134.8121337890625,184.5,214.3000030517578,123.6500015258789,168.60000610351562,87.9000015258789,141.6999969482422,184.5
2019-11-26,203.80853271484375,124.74681091308594,170.5651397705078,85.73390197753906,134.19374084472656,183.1199951171875,216.0,126.8499984741211,173.39999389648438,87.19999694824219,141.0500030517578,183.1199951171875
2019-11-27,201.2609405517578,122.77997589111328,170.17169189453125,85.49793243408203,135.62083435058594,183.9199981689453,213.3000030517578,124.8499984741211,173.0,86.95999908447266,142.5500030517578,183.9199981689453
2019-11-28,202.20449829101562,118.01039123535156,165.5485382080078,85.61592102050781,135.28782653808594,183.5800018310547,214.3000030517578,120.0,168.3000030517578,87.08000183105469,142.1999969482422,183.5800018310547
2019-11-29,199.65689086914062,118.20706939697266,163.53204345703125,84.84903717041016,134.43157958984375,184.83999633789062,211.60000610351562,120.19999694824219,166.25,86.30000305175781,141.3000030517578,184.83999633789062
2019-12-02,196.7318572998047,116.33857727050781,160.4827117919922,83.98382568359375,131.00656127929688,182.3800048828125,208.5,118.30000305175781,163.14999389648438,85.41999816894531,137.6999969482422,182.3800048828125
2019-12-03,194.75038146972656,115.50267028808594,162.35165405273438,85.87154388427734,131.29197692871094,185.1999969482422,206.39999389648438,117.44999694824219,165.0500030517578,87.33999633789062,138.0,185.1999969482422
2019-12-04,197.0149383544922,116.5352554321289,166.0403594970703,86.65809631347656,132.86178588867188,189.1999969482422,208.8000030517578,118.5,168.8000030517578,88.13999938964844,139.64999389648438,189.1999969482422
2019-12-05,197.769775390625,114.66676330566406,164.76161193847656,85.37995147705078,131.33956909179688,191.0,209.60000610351562,116.5999984741211,167.5,86.83999633789062,138.0500030517578,191.0
2019-12-06,198.43026733398438,114.42090606689453,170.0733184814453,86.14684295654297,131.81524658203125,191.77999877929688,210.3000030517578,116.3499984741211,172.89999389648438,87.62000274658203,138.5500030517578,191.77999877929688
2019-12-09,200.22300720214844,112.50324249267578,168.94212341308594,85.81255340576172,132.10067749023438,193.89999389648438,212.1999969482422,114.4000015258789,171.75,87.27999877929688,138.85000610351562,193.89999389648438
2019-12-10,199.09075927734375,112.60157775878906,166.67971801757812,84.71138763427734,130.7211456298828,191.5,211.0,114.5,169.4499969482422,86.16000366210938,137.39999389648438,191.5
2019-12-11,201.7327117919922,114.9617919921875,169.18804931640625,83.8265151977539,130.6260223388672,193.27999877929688,213.8000030517578,116.9000015258789,172.0,85.26000213623047,137.3000030517578,193.27999877929688
2019-12-12,200.9778594970703,115.15847778320312,167.46664428710938,84.12146759033203,129.86489868164062,191.89999389648438,213.0,117.0999984741211,170.25,85.55999755859375,136.5,191.89999389648438
2019-12-13,199.56253051757812,114.71593475341797,162.74513244628906,83.61021423339844,130.38816833496094,190.6199951171875,211.5,116.6500015258789,165.4499969482422,85.04000091552734,137.0500030517578,190.6199951171875
2019-12-16,200.41172790527344,118.10873413085938,164.56488037109375,85.478271484375,132.48123168945312,194.77999877929688,212.39999389648438,120.0999984741211,167.3000030517578,86.94000244140625,139.25,194.77999877929688
2019-12-17,199.84561157226562,119.04298400878906,164.26979064941406,85.478271484375,133.48019409179688,191.8000030517578,211.8000030517578,121.05000305175781,167.0,86.94000244140625,140.3000030517578,191.8000030517578
2019-12-18,198.43026733398438,119.78055572509766,164.810791015625,84.94734954833984,128.0096893310547,192.86000061035156,210.3000030517578,121.80000305175781,167.5500030517578,86.4000015258789,134.5500030517578,192.86000061035156
2019-12-19,198.6189727783203,119.33800506591797,168.20437622070312,81.6045150756836,130.48330688476562,192.6999969482422,210.5,121.3499984741211,171.0,83.0,137.14999389648438,192.6999969482422
2019-12-20,201.6383514404297,120.46894073486328,170.66351318359375,81.3292236328125,130.29302978515625,192.94000244140625,213.6999969482422,122.5,173.5,82.72000122070312,136.9499969482422,192.94000244140625
2019-12-23,202.7706298828125,121.20650482177734,170.51597595214844,81.66350555419922,130.24545288085938,192.4600067138672,214.89999389648438,123.25,173.35000610351562,83.05999755859375,136.89999389648438,192.4600067138672
2019-12-27,202.7706298828125,120.86231231689453,171.450439453125,81.62417602539062,130.38816833496094,193.5,214.89999389648438,122.9000015258789,174.3000030517578,83.0199966430664,137.0500030517578,193.5
